"","item","label","duration","intensity","cog","sdev","skew","kurt"
"74","SN16","B3_SN16_2_s.wav",0.151125,46.30253516,7718.694041,2472.57212,-0.00487222083,-0.2540391925
"75","SN16","B6_SN16_3_s_alt.wav",0.1164166667,49.84330512,6414.844209,1676.072725,0.7584110016,0.2368452067
"76","SN16","B6_SN16_1_s.wav",0.1065416667,48.31734017,6219.717235,1769.741662,0.9484192124,0.2860395012
"77","SN16","B6_SN16_2_s.wav",0.1040208333,49.45383176,6201.554557,1832.198637,0.9285495429,-0.05991461157
"78","SN16","B2_SN16_3_s.wav",0.1111458333,48.38071252,6181.185234,1568.837927,0.4503855409,0.03333616055
"79","SN16","B6_SN16_1_s_alt.wav",0.1281458333,47.94893023,5743.953849,1377.157934,1.246779171,1.554984663
"80","SN16","B2_SN16_1_s.wav",0.0999375,48.94661433,5633.318921,1656.225829,1.277693531,0.4074817932
"81","SN16","B6_SN16_3_s.wav",0.13225,48.84937175,5431.841934,1386.961536,2.044928063,3.963156153
"82","SN16","B2_SN16_2_s.wav",0.1141458333,48.7083782,5207.678591,968.451279,2.546304433,10.64378237
"83","SN16","B4_SN16_1_s.wav",0.150125,50.21276496,5040.104052,1886.012279,1.340622882,1.711921068
"84","SN16","B4_SN16_2_s.wav",0.1244166667,48.30141551,4874.285898,1478.3517,1.632363649,4.106574925
"85","SN16","B4_SN16_3_s.wav",0.1363958333,49.99128092,4283.949094,1450.897719,1.656975086,3.724058546
"86","SN17","B3_SN17_2_s.wav",0.2004166667,49.21308151,7619.419016,2461.481361,0.06666358097,-1.290710205
"87","SN17","B3_SN17_2_s_alt.wav",0.1655416667,44.52912326,7455.991995,2589.261099,0.02800576254,-0.8094750149
"88","SN17","B3_SN17_3_s.wav",0.1722916667,48.56406514,6806.826215,2303.007677,0.2031030231,-1.332049457
"89","SN17","B2_SN17_1_s.wav",0.1229583333,55.29942556,6614.128821,1371.507532,-0.388206481,0.08602766184
"90","SN17","B3_SN17_1_s.wav",0.1838958333,47.03476052,6528.522668,2356.379155,1.034074037,-0.3532023988
"91","SN17","B4_SN17_2_s.wav",0.1758125,49.96542322,6354.949009,1914.34994,0.3738398281,0.1201021789
"92","SN17","B6_SN17_2_s.wav",0.146,49.22301046,5824.999326,1736.277793,0.7078042552,-0.4690748871
"93","SN17","B2_SN17_2_s.wav",0.12575,50.60652341,5813.124907,1624.564944,0.9038135116,0.5397382432
"94","SN17","B2_SN17_3_s.wav",0.132625,50.75634864,5647.008972,1425.62672,1.847379365,3.669594104
"95","SN17","B6_SN17_3_s.wav",0.1404791667,50.49261246,5302.094403,1646.117167,1.487760956,2.074918926
"96","SN17","B6_SN17_1_s.wav",0.1675,49.68941301,4776.018717,1535.277132,1.721625797,1.960754729
"97","SN17","B4_SN17_2_s_alt.wav",0.1748333333,47.77670017,4287.099791,1590.315253,1.336482148,2.509563005
"98","SN17","B4_SN17_1_s.wav",0.1751875,49.8217565,4082.818328,1496.725273,1.568993854,4.114779474
"99","SN17","B4_SN17_3_s.wav",0.1666666667,48.38270632,3826.890314,1212.037703,2.730940116,10.27351263
"100","SN18","B3_SN18_3_s.wav",0.1342916667,51.22586326,8806.810199,1975.451861,-0.5445477251,0.329965868
"101","SN18","B3_SN18_1_s.wav",0.1638958333,45.2499984,8699.713672,2648.740999,-0.5596545078,0.370332377
"102","SN18","B3_SN18_2_s.wav",0.1527291667,47.48246904,7748.421246,2102.126162,0.1801274315,0.6389452435
"103","SN18","B6_SN18_1_s.wav",0.1069375,49.18328751,6591.867546,1537.682778,0.5751808446,0.08590503567
"104","SN18","B6_SN18_3_s.wav",0.1392916667,45.64284295,6537.52617,1391.640274,0.4577530296,0.9868347495
"105","SN18","B6_SN18_2_s.wav",0.1091875,46.76672213,6464.563097,1772.725237,0.6946699893,-0.1056561029
"106","SN18","B2_SN18_3_s.wav",0.1308333333,49.80086881,5781.250654,1193.054776,1.964318748,5.216565646
"107","SN18","B2_SN18_1_s.wav",0.1131666667,50.7311078,5494.307386,1034.113811,1.991638681,8.268534587
"108","SN18","B2_SN18_2_s.wav",0.1167291667,52.35464551,5374.888449,734.0682432,2.881141342,15.15639939
"109","SN18","B4_SN18_1_s.wav",0.1332083333,51.34679365,5212.956541,1390.064319,1.506575277,3.353729701
"110","SN18","B4_SN18_2_s.wav",0.1214583333,48.19371774,5077.975362,1637.217319,1.445380955,2.41717158
"111","SN18","B4_SN18_3_s.wav",0.1397708333,48.2195108,4325.397061,1464.435932,1.398739907,3.178083808
"112","SN19","B3_SN19_2_s.wav",0.1459166667,52.72637581,9259.224807,1814.410066,-0.8753148883,2.019222762
"113","SN19","B3_SN19_3_s.wav",0.1791875,49.78791213,9024.39654,2424.793049,-0.4432842985,1.006680017
